id,humidity,temperature,print_speed,layer_width,nozzle_height
1,42.47240713,18.53429616,100,25.51681721,29
2,77.04285838,28.81897699,100,30.31354632,29
3,63.91963651,23.34405168,100,30.40635122,29
4,55.91950905,26.64570175,100,31.37429901,29
5,29.36111843,33.42863006,100,32.26091334,29
6,29.35967122,22.2379679,100,34.75852079,29
7,23.48501673,24.97650969,100,30.16300348,29
8,71.97056875,30.84436936,100,28.22956473,29
9,56.0669007,21.88956881,100,32.95186195,29
10,62.48435467,19.30865847,100,27.70832251,29
11,21.23506966,22.9257747,100,29.38971421,29
12,78.19459113,20.74076188,100,25.78456381,29
13,69.94655845,33.80486009,100,25.25350743,29
14,32.74034664,31.73804645,100,34.62648415,29
15,30.90949803,28.76786386,100,33.35980121,29
16,31.00427059,32.81483003,100,31.95974206,29
17,38.25453458,31.66242531,100,29.08952944,29
18,51.4853859,21.171691,100,26.7329432,29
19,45.91670112,33.17350297,100,26.56437043,29
20,37.47374841,27.16881811,100,27.50242898,29
21,56.71117368,31.72648264,100,30.49226665,29
22,28.36963164,33.2335521,100,32.14595923,29
23,37.52867891,23.40605907,100,31.60197377,29
24,41.9817106,19.87088272,100,27.79933897,29
25,47.36419905,21.87489776,100,34.54865281,29
26,67.11055768,25.26083241,100,32.37896917,29
27,31.98042693,31.90625102,100,30.54354053,29
28,50.8540663,32.63241992,100,31.11720746,29
29,55.54487413,18.11818622,100,29.19600062,29
30,22.78702476,26.68270414,100,27.4773099,29
31,56.45269111,25.09598705,100,28.55972679,29
32,30.23144742,21.77583278,100,32.5784611,29
33,23.90309558,20.03771124,100,25.14393489,29
34,76.93313224,23.73945791,100,26.16072641,29
35,77.93792198,34.02946497,100,25.46002642,29
36,68.50384089,23.49444984,100,25.40728802,29
37,38.27682615,26.81944057,100,33.55460584,29
38,25.86032684,29.9513223,100,32.03657859,29
39,61.05398159,24.18170324,100,29.74173829,29
40,46.40914962,34.52029541,100,25.97834161,29
41,27.32229409,34.36160401,100,29.91615875,29
42,49.71061461,22.28029903,100,29.73471771,29
43,22.06331127,26.4532246,100,26.7320187,29
44,74.55922412,23.11493127,100,29.33851649,29
45,35.5267989,22.8422884,100,28.98504734,29
46,59.75133706,18.62707811,100,31.15850098,29
47,38.70266457,28.36259368,100,31.35093651,29
48,51.20408127,26.54554339,100,25.4530401,29
49,52.80261676,18.87513877,100,28.74612615,29
50,31.09126733,22.73698989,100,31.25859916,29
51,78.17507767,33.44052006,100,30.03136259,29
52,66.5079694,22.07255214,100,33.56489841,29
53,76.36993649,20.46321283,100,31.58693632,29
54,73.68964103,26.32069692,100,26.62934427,29
55,55.87399873,34.75605772,100,25.70568747,29
56,75.3124541,22.11493962,100,31.42419278,29
57,25.30955012,29.42630431,100,25.26511311,29
58,31.75897175,30.94753346,100,30.85775581,29
59,22.71363733,22.03983825,100,34.40230241,29
60,39.51981985,30.37967793,100,30.75474178,29
61,43.32063738,24.25231326,100,28.88169926,29
62,36.28094191,28.74919912,100,31.43288218,29
63,69.72425055,28.77000508,100,29.5825289,29
64,41.4051996,27.10816963,100,30.45616789,29
65,36.85607058,19.53492609,100,34.41464809,29
66,52.56176499,32.20014243,100,28.86102638,29
67,28.4554535,23.4532611,100,34.61190564,29
68,68.13181885,21.17081468,100,34.05350642,29
69,24.47303862,18.69317741,100,26.95791135,29
70,79.2132162,28.04518003,100,25.69361301,29
71,66.33468616,29.51859415,100,26.00778001,29
72,31.92294089,18.28199309,100,25.18221826,29
73,20.33132703,26.70558199,100,25.94442961,29
74,68.92768571,21.85042818,100,31.83006773,29
75,62.41144063,28.96793744,100,25.71188648,29
76,63.74043008,20.96422929,100,28.1897563,29
77,66.2762208,29.74594155,100,33.44875311,29
78,24.4426791,24.57450089,100,25.23271936,29
79,41.50794371,33.92440981,100,33.14468483,29
80,26.95214357,20.33785605,100,27.81854775,29
81,71.78620555,23.79812797,100,26.18164828,29
82,57.39788761,19.92904986,100,31.96737165,29
83,39.85388149,33.71979151,100,31.28942847,29
84,23.81350102,32.91476901,100,33.77472014,29
85,38.6589393,22.38500767,100,32.35071044,29
86,39.51099932,29.21972878,100,33.0348093,29
87,63.7763707,31.8927774,100,27.82034573,29
88,58.25344828,27.4384138,100,26.77439544,29
89,73.23276455,27.00405983,100,32.50614752,29
90,48.33289551,22.11148895,100,33.06834739,29
91,27.17565476,19.58274705,100,34.90505142,29
92,62.79468723,33.25266789,100,29.12617677,29
93,65.64710292,33.30710697,100,28.72018086,29
94,53.67663185,28.76272477,100,32.76412961,29
95,66.2580308,23.76350645,100,28.4080354,29
96,49.62773578,23.93656277,100,34.30757326,29
97,51.36396976,30.34124654,100,33.58412752,29
98,45.6524611,33.25087442,100,29.28994027,29
99,21.5251476,33.08046921,100,32.50871068,29
100,26.47348562,31.25788428,100,32.54542874,29
